Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0041-FRA,1967,41,,Natural,Meteorological,Storm,Convective storm,Tornado,,France,FRA,Western Europe,Europe,North,,,,,No,No,,,Kph,,,,,1967,6.0,25.0,1967,6.0,25.0,5.0,,,,,,,,,20000.0,162460.0,12.3107281871857,,,,
1969-0074-FRA,1969,74,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Brittany, Normandy",,,,,,,,,Kph,,,,,1969,7.0,6.0,1969,7.0,6.0,23.0,,,,,,,,,,,13.5378001312049,,,,
1982-0336-FRA,1982,336,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1982,1.0,15.0,1982,1.0,15.0,,,,,,,,,,,,35.6128405860485,,,,
1982-0119-FRA,1982,119,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Seine, Saone, Charente, Loire departments",,,,,No,No,,,Kph,,,,,1982,11.0,6.0,1982,11.0,9.0,12.0,,,,,,,,,350000.0,982792.0,35.6128405860485,,,,
1983-0346-FRA,1983,346,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,"Central, South-West regions",,,,,,,,,Kph,,,,,1983,7.0,26.0,1983,7.0,26.0,11.0,,,,,,,,,,,36.7568773234201,,,,
1984-0061-FRA,1984,61,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1984,7.0,11.0,1984,7.0,11.0,4.0,,,,,,,,,,,38.3376251913405,,,,
1984-0257-FRA,1984,257,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,10.0,5.0,1984,10.0,5.0,,,,,,,,,,,,38.3376251913405,,,,
1984-0258-FRA,1984,258,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,11.0,21.0,1984,11.0,21.0,,,,,,,,,,,,38.3376251913405,,,,
1987-0192-FRA,1987,192,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Bretagne, Normandie",,,,,,,,200.0,Kph,,,,,1987,10.0,16.0,1987,10.0,16.0,4.0,,,,,,,,,1700000.0,4054112.0,41.9327356221299,,,,
1989-0590-FRA,1989,590,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1989,2.0,26.0,1989,2.0,26.0,9.0,,,,,,,,,,,45.749276186311,,,,
1990-0717-FRA,1990,717,,Natural,Meteorological,Storm,,,Daria,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,25.0,1990,1.0,26.0,,,,,,,,300000.0,622164.0,400000.0,829552.0,48.2187972884321,,,,
1990-0718-FRA,1990,718,,Natural,Meteorological,Storm,,,Herta,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,3.0,1990,2.0,4.0,23.0,,,,,,,700000.0,1451716.0,900000.0,1866492.0,48.2187972884321,,,,
1990-0719-FRA,1990,719,,Natural,Meteorological,Storm,,,Judith,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,7.0,1990,2.0,8.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0720-FRA,1990,720,,Natural,Meteorological,Storm,,,Nana,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,11.0,1990,2.0,12.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0721-FRA,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0722-FRA,1990,722,,Natural,Meteorological,Storm,,,Vivian,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,10.0,,,,,,,100000.0,207388.0,200000.0,414776.0,48.2187972884321,,,,
1990-0723-FRA,1990,723,,Natural,Meteorological,Storm,,,Wiebke,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,10.0,,,,,,,120000.0,248866.0,230000.0,476992.0,48.2187972884321,,,,
1990-0153-FRA,1990,153,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Massif Central, Rhone Valley",,,,,,,,,Kph,,,,,1990,12.0,9.0,1990,12.0,9.0,,,,,,,,,,,,48.2187972884321,,,,
